Veneen nimi,Kippari,Veneen tyyppi,Hir.,Vir.,Yht.
Meie,Jouko Jyrkkiö,Avance 33,9,8,17
Wilma,Tapio Fagerström,Bavaria 35 Match,7,5,12
Crista,Esko Mickelsson,Elan 37,3,4,7
Iida II,Esko Salminen,Diva 39,6,-,6
Joy,Kaj Toivonen,Arcona 32,-,6,6
Nordwest V,Timo Päivärinta,Baltic 39,5,-,5
Venda,Pertti Johansson,Sunwind 311,4,-,4
Hex,Matti Niemelä,X-302,-,3,3
Carpe Diem,Stefan Kaapro,Sun Odyssey 36,2,1,3
Elida,Matti Nyfors,Bavaria 36,-,2,2
Lazy Days,Artem Erfe,Guyline 95,1,-,1
