Veneen nimi,Kippari,Veneen tyyppi,Hir.,Vir.,Yht.
Felina,Matti Niemelä,FinnExpress 83,6,8,14
Iida II,Esko Salminen,Diva 39,2,6,8
Meie,Jouko Jyrkkiö,Avance 33,3,5,8
Carpe Diem,Stefan Kaapro,Sun Odyssey 36,4,1,5
Wilma,Tapio Fagerström,Bavaria 36 Match,-,4,4
Crista,Esko Mickelsson,Elan 37,1,3,4
Elida,Matti Nyfors,Bavaria 36,-,2,2
